Date,Open,High,Low,Close,Volume,Daily Return (%)
17-05-2025,60000.0,60575.64,59868.25,60478.94,30443708576,0.8
18-05-2025,60478.94,60613.45,60322.14,60383.83,32511141554,-0.16
19-05-2025,60383.83,61126.61,60238.41,61003.83,37250797579,1.02
20-05-2025,61003.83,62575.73,60985.69,62444.75,36001697043,2.33
21-05-2025,62444.75,62521.36,62068.34,62256.93,32061142257,-0.3
22-05-2025,62256.93,62382.97,61916.21,62069.69,38664580221,-0.3
23-05-2025,62069.69,63748.19,61929.66,63589.34,35682802904,2.42
24-05-2025,63589.34,64579.86,63399.68,64357.76,38474390300,1.2
25-05-2025,64357.76,64548.21,63703.73,63938.09,32491563046,-0.65
26-05-2025,63938.09,64760.66,63745.36,64492.81,39681820855,0.86
27-05-2025,64492.81,64572.31,64067.89,64078.09,35766652822,-0.65
28-05-2025,64078.09,64262.14,63617.96,63663.83,30616509747,-0.65
29-05-2025,63663.83,64066.84,63576.28,63927.26,37442744187,0.41
30-05-2025,63927.26,64195.11,62023.83,62149.75,39287359495,-2.82
31-05-2025,62149.75,62223.81,60440.06,60592.61,35103920468,-2.54
01-06-2025,60592.61,60662.92,60037.15,60113.75,33138888694,-0.79
02-06-2025,60113.75,60197.95,59107.45,59236.99,34137543150,-1.47
03-06-2025,59236.99,59554.02,59163.26,59546.64,35391500462,0.52
04-06-2025,59546.64,59634.43,58688.87,58770.47,37136656576,-1.31
05-06-2025,58770.47,58843.4,57533.16,57567.32,35902559658,-2.07
06-06-2025,57567.32,59002.97,57505.33,58876.36,34370197917,2.25
07-06-2025,58876.36,59014.24,58668.59,58706.65,35343571921,-0.29
08-06-2025,58706.65,59023.44,58646.53,58795.54,33568590361,0.15
09-06-2025,58795.54,58969.01,57405.29,57581.12,38240658371,-2.09
10-06-2025,57581.12,57663.07,57081.38,57141.41,32579598336,-0.77
11-06-2025,57141.41,57328.27,56876.71,57265.19,32864620847,0.22
12-06-2025,57265.19,57407.89,56172.74,56313.14,32478991720,-1.68
13-06-2025,56313.14,56698.23,56190.11,56659.71,35792079805,0.61
14-06-2025,56659.71,56876.8,56115.47,56179.61,36893224639,-0.85
15-06-2025,56179.61,56358.23,55811.2,55962.31,35661246014,-0.39
16-06-2025,55962.31,56047.98,55408.19,55487.23,33721325728,-0.85
17-06-2025,55487.23,57095.42,55369.48,57079.04,34266349656,2.83
18-06-2025,57079.04,57287.52,56818.76,57096.03,30388615924,0.03
19-06-2025,57096.03,57203.68,56118.37,56225.42,31239895198,-1.54
20-06-2025,56225.42,57136.3,56048.35,56951.9,30468622282,1.28
21-06-2025,56951.9,56975.0,55873.87,55946.42,33286469733,-1.78
22-06-2025,55946.42,56228.68,55836.48,56150.04,38270710403,0.36
